LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C106231,RC0402FR-070RL,YAGEO,,0402,0Ω 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,1000,0.0007,0.70,,,
C100044,RC0603FR-070RL,YAGEO,,0603,0Ω 100mW 75V Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0015,0.15,,,
C17477,0805W8F0000T5E,UNI-ROYAL,,0805,0Ω ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0021,0.21,,,
