LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C5213728,HC-FPC-05-10-5RLTAG,HCTL,,"SMD,P=0.5mm,Surface Mount,Right Angle","FFC/FPC Connector 5 Position 0.5mm Pitch Bottom Contact Surface Mount, Right Angle -55℃~+85℃",YES,150,0.0609,9.14,,,
C20069015,YTC10A-15P-100-3-5,YIYUAN,,P=1mm,"15 Position FFC, FPC Cable 1mm 100mm",YES,10,0.0721,0.72,,,
C5242922,FC-1.0A-15P-50mm,DEALON,,P=1mm,"15 Position FFC, FPC Cable 1mm 5cm",YES,5,0.0773,0.39,,,
C5242921,FC-1.0B-15P-50mm,DEALON,,P=1mm,"15 Position FFC, FPC Cable 1mm 5cm",YES,5,0.0773,0.39,,,
C25503128,2541FV-2x20P-B,HanElectricity,,"Through Hole,P=2.54mm","3A 40P Through Hole -40℃~+105℃ 2x20P Top 2.54mm 2 Square Hole 2.54mm Through Hole,P=2.54mm Headers, Receptacles, Female Sockets RoHS",YES,5,0.134,0.67,,,
C124369,B-2100R40P-B110,Ckmtw,,"Through Hole,Right Angle,P=2.54mm","Pin Header 2 2.54mm 6mm 40P -40℃~+105℃ 2.54mm 3A 2x20P 2.54mm Through Hole,Right Angle,P=2.54mm Headers, Male Pins RoHS",YES,5,0.377,1.89,,,
